rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2445049000000,,110321,,2445,34000000,"""map""","""base_link""",,,-9.9092526428,-333.948672792,0.0069028222,,8.4827341099E-05,-0.000082618,-0.7156077008,-0.6985024012
2445049000000,,110322,,2445,44000000,"""map""","""base_link""",,,-9.9100067313,-333.918042225,0.0069028222,,8.48250673237E-05,-8.26203402261E-05,-0.7156132505,-0.6984967155
2445092000000,,110323,,2445,54000000,"""map""","""base_link""",,,-9.9107436502,-333.887410754,0.0069028223,,8.48256168068E-05,-8.26194205931E-05,-0.7156200129,-0.6984897874
2445092000000,,110324,,2445,64000000,"""map""","""base_link""",,,-9.9114659201,-333.85677852,0.0069028224,,8.48258700852E-05,-8.26191758582E-05,-0.7156298511,-0.6984797078
2445092000000,,110325,,2445,74000000,"""map""","""base_link""",,,-9.9121366989,-333.826144096,0.0069028224,,8.48269269931E-05,-8.26181098281E-05,-0.7156340209,-0.6984754355
2445092000000,,110326,,2445,84000000,"""map""","""base_link""",,,-9.9128188751,-333.795509358,0.0069028225,,8.48284702172E-05,-8.26165162539E-05,-0.7156290587,-0.6984805197
2445115000000,,110327,,2445,94000000,"""map""","""base_link""",,,-9.9135607168,-333.764876167,0.0069028226,,8.48272345451E-05,-8.26177498045E-05,-0.7156261389,-0.6984835112
2445115000000,,110328,,2445,104000000,"""map""","""base_link""",,,-9.914313583,-333.73424321,0.0069028226,,0.000084825,-8.26200649101E-05,-0.7156324925,-0.6984770015
2445115000000,,110329,,2445,114000000,"""map""","""base_link""",,,-9.9150394435,-333.703607878,0.0069028223,,8.48257907455E-05,-8.26196340816E-05,-0.7156014993,-0.6985087545
2445124000000,,110330,,2445,124000000,"""map""","""base_link""",,,-9.9157668144,-333.672973374,0.0069028225,,8.48262681974E-05,-8.2619151449E-05,-0.7156093777,-0.6985006833
2445134000000,,110331,,2445,134000000,"""map""","""base_link""",,,-9.9164528127,-333.642337092,0.0069028225,,8.48264652539E-05,-0.000082619,-0.7156145354,-0.6984953992
2445180000000,,110332,,2445,144000000,"""map""","""base_link""",,,-9.9171347549,-333.611700061,0.0069028225,,8.48278320056E-05,-8.26175649886E-05,-0.7156121346,-0.6984978588
